source_dataset,model,k,cluster_assignments,suggested_k_gap
cifar10,ViT-B-32,2,"{'cifar100': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 2}",3
cifar10,ViT-B-32,3,"{'cifar100': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 3, 'textures': 1, 'tinyimagenet': 2}",3
cifar10,ViT-B-32,4,"{'cifar100': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 4, 'textures': 1, 'tinyimagenet': 2}",3
cifar10,ViT-B-16,2,"{'cifar100': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 2}",2
cifar10,ViT-B-16,3,"{'cifar100': 3, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 3}",2
cifar10,ViT-B-16,4,"{'cifar100': 3, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 4}",2
cifar10,ViT-L-14,2,"{'cifar100': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 1, 'textures': 1, 'tinyimagenet': 2}",2
cifar10,ViT-L-14,3,"{'cifar100': 3, 'isun': 2, 'lsun_cropped': 3, 'lsun_resize': 2, 'places365': 1, 'svhn': 1, 'textures': 1, 'tinyimagenet': 2}",2
cifar10,ViT-L-14,4,"{'cifar100': 4, 'isun': 3, 'lsun_cropped': 4, 'lsun_resize': 3, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 3}",2
cifar100,ViT-B-32,2,"{'cifar10': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 2}",2
cifar100,ViT-B-32,3,"{'cifar10': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 3, 'textures': 1, 'tinyimagenet': 2}",2
cifar100,ViT-B-32,4,"{'cifar10': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 4, 'textures': 1, 'tinyimagenet': 2}",2
cifar100,ViT-B-16,2,"{'cifar10': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 2}",2
cifar100,ViT-B-16,3,"{'cifar10': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 3, 'textures': 1, 'tinyimagenet': 2}",2
cifar100,ViT-B-16,4,"{'cifar10': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 4, 'textures': 1, 'tinyimagenet': 2}",2
cifar100,ViT-L-14,2,"{'cifar10': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 1, 'textures': 1, 'tinyimagenet': 2}",3
cifar100,ViT-L-14,3,"{'cifar10': 2, 'isun': 3, 'lsun_cropped': 2, 'lsun_resize': 3, 'places365': 1, 'svhn': 1, 'textures': 1, 'tinyimagenet': 3}",3
cifar100,ViT-L-14,4,"{'cifar10': 3, 'isun': 4, 'lsun_cropped': 3, 'lsun_resize': 4, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 4}",3
supercifar100,ViT-B-32,2,"{'cifar10': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 2}",3
supercifar100,ViT-B-32,3,"{'cifar10': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 3, 'textures': 1, 'tinyimagenet': 2}",3
supercifar100,ViT-B-32,4,"{'cifar10': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 4, 'textures': 1, 'tinyimagenet': 2}",3
supercifar100,ViT-B-16,2,"{'cifar10': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 2}",2
supercifar100,ViT-B-16,3,"{'cifar10': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 3, 'textures': 1, 'tinyimagenet': 2}",2
supercifar100,ViT-B-16,4,"{'cifar10': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 4, 'textures': 1, 'tinyimagenet': 2}",2
supercifar100,ViT-L-14,2,"{'cifar10': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 1, 'textures': 1, 'tinyimagenet': 2}",2
supercifar100,ViT-L-14,3,"{'cifar10': 3, 'isun': 2, 'lsun_cropped': 3, 'lsun_resize': 2, 'places365': 1, 'svhn': 1, 'textures': 1, 'tinyimagenet': 2}",2
supercifar100,ViT-L-14,4,"{'cifar10': 4, 'isun': 3, 'lsun_cropped': 4, 'lsun_resize': 3, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 3}",2
tinyimagenet,ViT-B-32,2,"{'cifar10': 1, 'cifar100': 1, 'isun': 1, 'lsun_cropped': 1, 'lsun_resize': 1, 'places365': 2, 'svhn': 2, 'textures': 2}",4
tinyimagenet,ViT-B-32,3,"{'cifar10': 1, 'cifar100': 1, 'isun': 1, 'lsun_cropped': 1, 'lsun_resize': 1, 'places365': 2, 'svhn': 3, 'textures': 2}",4
tinyimagenet,ViT-B-32,4,"{'cifar10': 1, 'cifar100': 1, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 3, 'svhn': 4, 'textures': 3}",4
tinyimagenet,ViT-B-16,2,"{'cifar10': 1, 'cifar100': 1, 'isun': 1, 'lsun_cropped': 1, 'lsun_resize': 1, 'places365': 2, 'svhn': 2, 'textures': 2}",4
tinyimagenet,ViT-B-16,3,"{'cifar10': 1, 'cifar100': 1, 'isun': 1, 'lsun_cropped': 1, 'lsun_resize': 1, 'places365': 2, 'svhn': 3, 'textures': 2}",4
tinyimagenet,ViT-B-16,4,"{'cifar10': 2, 'cifar100': 2, 'isun': 1, 'lsun_cropped': 1, 'lsun_resize': 1, 'places365': 3, 'svhn': 4, 'textures': 3}",4
tinyimagenet,ViT-L-14,2,"{'cifar10': 1, 'cifar100': 1, 'isun': 1, 'lsun_cropped': 1, 'lsun_resize': 1, 'places365': 2, 'svhn': 2, 'textures': 2}",2
tinyimagenet,ViT-L-14,3,"{'cifar10': 1, 'cifar100': 1, 'isun': 1, 'lsun_cropped': 1, 'lsun_resize': 1, 'places365': 2, 'svhn': 3, 'textures': 2}",2
tinyimagenet,ViT-L-14,4,"{'cifar10': 2, 'cifar100': 2, 'isun': 1, 'lsun_cropped': 2, 'lsun_resize': 1, 'places365': 3, 'svhn': 4, 'textures': 3}",2
