Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
"(-inf, 0.01)",25,0.625,18,7,0.28,-0.1541506798272585,0.015415067982725832,0.0019249779517418047,CTM,var_collapse,,,,
"[0.01, inf)",15,0.375,12,3,0.2,0.2876820724517808,0.028768207245178118,0.003583676550815821,CTM,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
,40,1.0,30,10,0.25,,0.044183275227903954,0.005508654502557626,CTM,var_collapse,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTM,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTM,equiangular_uc,,,,
"(-inf, 0.10)",21,0.525,15,6,0.2857142857142857,-0.1823215567939548,0.018232155679395456,0.0022758681458076857,CTM,equiangular_wc,,,,
"[0.10, inf)",19,0.475,15,4,0.21052631578947367,0.2231435513142097,0.022314355131420965,0.0027835217831799104,CTM,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
,40,1.0,30,10,0.25,,0.04054651081081642,0.005059389928987596,CTM,equiangular_wc,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTM,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTM,equinorm_uc,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTM,equinorm_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTM,equinorm_wc,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTM,max_equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTM,max_equiangular_uc,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTM,max_equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_wc,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTM,max_equiangular_wc,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTM,self_duality,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,self_duality,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,self_duality,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTM,self_duality,,,,
"(-inf, 0.01)",25,0.625,18,7,0.28,-0.1541506798272585,0.015415067982725832,0.0019249779517418047,CTM,,var_collapse,0.0,-0.2495359086557289,-14.002238246941346
"[0.01, inf)",15,0.375,12,3,0.2,0.2876820724517808,0.028768207245178118,0.003583676550815821,CTM,,var_collapse,1.0,-0.2495359086557289,40.28206002734047
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,2.0,-0.2495359086557289,4.936967685083888
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,3.0,-0.2495359086557289,4.936967685083888
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTM,,equiangular_uc,0.0,0.0,4.936967685083888
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_uc,1.0,0.0,4.936967685083888
