method,feature,mean_abs_shap,mean_shap
CTMmeanOC,var_collapse,0.07819851325261686,-0.03893799021929923
CTMmeanOC,equiangular_uc,0.08829565943174542,-0.036489307076666574
CTMmeanOC,equiangular_wc,0.03733471530946578,-0.015833298461743705
CTMmeanOC,equinorm_uc,0.08836005976534977,-0.045320667413630916
CTMmeanOC,equinorm_wc,0.01155272173336315,-0.006650820148387131
CTMmeanOC,max_equiangular_uc,0.06076671929885691,-0.024209902822601066
CTMmeanOC,max_equiangular_wc,0.08536728803609393,-0.045668310085543576
CTMmeanOC,self_duality,0.06764437588564999,-0.03335521296183132
CTMmeanOC,dropout,0.0005619377177726788,-3.449081029647445e-05
NNGuide,var_collapse,0.07819851325261686,-0.03893799021929923
NNGuide,equiangular_uc,0.08829565943174542,-0.036489307076666574
NNGuide,equiangular_wc,0.03733471530946578,-0.015833298461743705
NNGuide,equinorm_uc,0.08836005976534977,-0.045320667413630916
NNGuide,equinorm_wc,0.01155272173336315,-0.006650820148387131
NNGuide,max_equiangular_uc,0.06076671929885691,-0.024209902822601066
NNGuide,max_equiangular_wc,0.08536728803609393,-0.045668310085543576
NNGuide,self_duality,0.06764437588564999,-0.03335521296183132
NNGuide,dropout,0.0005619377177726788,-3.449081029647445e-05
PCA RecError global,var_collapse,0.07006639087651105,-0.029601966582388985
PCA RecError global,equiangular_uc,0.0166593070224483,-0.010957370944756671
PCA RecError global,equiangular_wc,0.0467856169527687,-0.02220213044554392
PCA RecError global,equinorm_uc,0.07765403085209553,-0.03671006522081618
PCA RecError global,equinorm_wc,0.01749723386217461,-0.012738056652345064
PCA RecError global,max_equiangular_uc,0.0066996772324932966,-0.002553372530483778
PCA RecError global,max_equiangular_wc,0.210715058586025,-0.10954842721112272
PCA RecError global,self_duality,0.05174495430669649,-0.02792254965247363
PCA RecError global,dropout,0.0011233100687780685,-0.0008910607600690877
PE,var_collapse,0.1612316855955977,-0.08072702768696535
PE,equiangular_uc,0.01090405486898519,-0.004077479770102489
PE,equiangular_wc,0.007320978716447009,-0.0031292461314028847
PE,equinorm_uc,0.188232359111342,-0.10405555618592255
PE,equinorm_wc,0.007770984008189324,-0.0016189114046351364
PE,max_equiangular_uc,0.0082774244198131,-0.005143473397033769
PE,max_equiangular_wc,0.06433278130990121,-0.02204251868431295
PE,self_duality,0.06789790284033562,-0.02620578673962498
PE,dropout,3.252606517456513e-20,-2.168404344971009e-20
ViM,var_collapse,0.050646521111322486,4.2031657088239734e-05
ViM,equiangular_uc,0.017598259140642728,0.0009510221386307402
ViM,equiangular_wc,0.04028771486823563,-0.003826824887632785
ViM,equinorm_uc,0.08526731377635823,0.0038676680144311875
ViM,equinorm_wc,0.031985897430330305,-0.0006404028419204097
ViM,max_equiangular_uc,0.0049300918181465585,-0.0018867029774817968
ViM,max_equiangular_wc,0.10087517517530176,-0.0008212074850960918
ViM,self_duality,0.17437174922047488,0.000873772811653254
ViM,dropout,0.002894530068880781,-0.000309356429672347
pNML,var_collapse,0.07006639087651105,-0.029601966582388985
pNML,equiangular_uc,0.0166593070224483,-0.010957370944756671
pNML,equiangular_wc,0.0467856169527687,-0.02220213044554392
pNML,equinorm_uc,0.07765403085209553,-0.03671006522081618
pNML,equinorm_wc,0.01749723386217461,-0.012738056652345064
pNML,max_equiangular_uc,0.0066996772324932966,-0.002553372530483778
pNML,max_equiangular_wc,0.210715058586025,-0.10954842721112272
pNML,self_duality,0.05174495430669649,-0.02792254965247363
pNML,dropout,0.0011233100687780685,-0.0008910607600690877
