method,feature,iv,n_bins,quality_score
CTM,var_collapse,0.8749653887814057,3,0.2102194115803431
CTM,equiangular_uc,0.10591223254840046,2,0.16019170251342504
CTM,equiangular_wc,0.4292045161923008,2,0.4830075583438376
CTM,equinorm_uc,0.49981555446369846,3,0.5309297636820866
CTM,equinorm_wc,0.43017679778096257,3,0.5873803130740013
CTM,max_equiangular_uc,1.1870025322145643,3,0.010368400889978343
CTM,max_equiangular_wc,0.19874586724996282,2,0.4324311420286897
CTM,self_duality,4.781897947459079,3,3.050009660254895e-31
CTM,dropout,0.0,1,0.0
CTMmean,var_collapse,1.5380817240485156,2,0.002190672602757786
CTMmean,equiangular_uc,0.0,1,0.0
CTMmean,equiangular_wc,0.003911348217312688,2,0.0029978445587773113
CTMmean,equinorm_uc,0.0828184903167482,3,0.06610239781787389
CTMmean,equinorm_wc,0.8411108880430381,3,0.2962813742280333
CTMmean,max_equiangular_uc,0.14783575506830066,2,0.3393514251037192
CTMmean,max_equiangular_wc,0.20765347750434102,2,0.45877151581931314
CTMmean,self_duality,0.846736545810753,3,0.21128846077530808
CTMmean,dropout,0.0,1,0.0
CTMmeanOC,var_collapse,1.5380817240485156,2,0.002190672602757786
CTMmeanOC,equiangular_uc,0.0,1,0.0
CTMmeanOC,equiangular_wc,0.003911348217312688,2,0.0029978445587773113
CTMmeanOC,equinorm_uc,0.0828184903167482,3,0.06610239781787389
CTMmeanOC,equinorm_wc,0.8411108880430381,3,0.2962813742280333
CTMmeanOC,max_equiangular_uc,0.14783575506830066,2,0.3393514251037192
CTMmeanOC,max_equiangular_wc,0.20765347750434102,2,0.45877151581931314
CTMmeanOC,self_duality,0.846736545810753,3,0.21128846077530808
CTMmeanOC,dropout,0.0,1,0.0
Energy,var_collapse,0.07032728403374726,2,0.1656164150605108
Energy,equiangular_uc,0.9946381096341317,2,0.08919559858305194
Energy,equiangular_wc,0.31770330178900125,3,0.7194202316542901
Energy,equinorm_uc,1.839709227491444,3,0.00011620339777546518
Energy,equinorm_wc,1.6636620137469011,3,7.829709760208235e-05
Energy,max_equiangular_uc,0.7423453718941945,3,0.058886663381859376
Energy,max_equiangular_wc,0.07347333311276488,3,0.0
Energy,self_duality,0.8351806676958353,2,0.20175266188513846
Energy,dropout,0.0,1,0.0
Maha,var_collapse,1.8858618790636557,3,6.048565049112722e-05
Maha,equiangular_uc,1.3407547071532315,3,0.012305980273686996
Maha,equiangular_wc,1.6103254367895192,3,0.00133366197497307
Maha,equinorm_uc,1.0048504516283516,3,0.13351680281259648
Maha,equinorm_wc,0.37106331546289123,3,0.765821224056226
Maha,max_equiangular_uc,1.4540198637476065,3,0.005777622302255969
Maha,max_equiangular_wc,0.6539585749281668,3,0.5311508104958471
Maha,self_duality,0.966421349312616,3,0.1626193645393909
Maha,dropout,0.0,1,0.0
Residual,var_collapse,1.8858618790636557,3,6.048565049112722e-05
Residual,equiangular_uc,1.3407547071532315,3,0.012305980273686996
Residual,equiangular_wc,1.6103254367895192,3,0.00133366197497307
Residual,equinorm_uc,1.0048504516283516,3,0.13351680281259648
Residual,equinorm_wc,0.37106331546289123,3,0.765821224056226
Residual,max_equiangular_uc,1.4540198637476065,3,0.005777622302255969
Residual,max_equiangular_wc,0.6539585749281668,3,0.5311508104958471
Residual,self_duality,0.966421349312616,3,0.1626193645393909
Residual,dropout,0.0,1,0.0
fDBD,var_collapse,0.948697681375023,3,0.1811569119337782
fDBD,equiangular_uc,1.0634637085249858,3,0.07932416725408722
fDBD,equiangular_wc,0.4650346735404081,3,0.572916909141257
fDBD,equinorm_uc,1.5958407398901941,3,0.001466230926275388
fDBD,equinorm_wc,1.024441896208292,3,0.044329133765223364
fDBD,max_equiangular_uc,0.49142049880306216,3,0.493081257557157
fDBD,max_equiangular_wc,0.20778155394498726,2,0.44610980049049614
fDBD,self_duality,1.6956239862970452,3,0.0005077770768057532
fDBD,dropout,0.0,1,0.0
