Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
"(-inf, 0.01)",115,0.4107142857142857,70,45,0.391304347826087,-0.8574502318512218,0.37026260011757295,0.04491514032900164,CTM,var_collapse,,,,
"[0.01, inf)",165,0.5892857142857143,150,15,0.09090909090909091,1.0033021088637846,0.433244092463907,0.05199260362190766,CTM,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
,280,1.0,220,60,0.21428571428571427,,0.80350669258148,0.0969077439509093,CTM,var_collapse,,,,
"(-inf, 0.15)",159,0.5678571428571428,113,46,0.2893081761006289,-0.40053656190701525,0.10134788763404781,0.012584476149827377,CTM,equiangular_uc,,,,
"[0.15, inf)",121,0.43214285714285716,107,14,0.11570247933884298,0.7344885207163865,0.18584785296914635,0.022722484959055614,CTM,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
,280,1.0,220,60,0.21428571428571427,,0.2871957406031942,0.03530696110888299,CTM,equiangular_uc,,,,
"(-inf, 0.09)",135,0.48214285714285715,105,30,0.2222222222222222,-0.04652001563489283,0.0010572730826112016,0.00013214721965111587,CTM,equiangular_wc,,,,
"[0.09, inf)",145,0.5178571428571429,115,30,0.20689655172413793,0.04445176257083361,0.001010267331155313,0.00012627302030157952,CTM,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
,280,1.0,220,60,0.21428571428571427,,0.0020675404137665146,0.0002584202399526954,CTM,equiangular_wc,,,,
"(-inf, 0.06)",89,0.31785714285714284,71,18,0.20224719101123595,0.07302513501488983,0.001659662159429321,0.00020741168622015384,CTM,equinorm_uc,,,,
"[0.06, 0.09)",44,0.15714285714285714,40,4,0.09090909090909091,1.0033021088637846,0.11553175799037523,0.013864694299175393,CTM,equinorm_uc,,,,
"[0.09, inf)",147,0.525,109,38,0.2585034013605442,-0.2455212616275031,0.033852173951670825,0.004220925381164642,CTM,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
,280,1.0,220,60,0.21428571428571427,,0.1510435941014754,0.01829303136656019,CTM,equinorm_uc,,,,
"(-inf, 0.03)",153,0.5464285714285714,119,34,0.2222222222222222,-0.04652001563489283,0.0011982428269593627,0.00014976684893793207,CTM,equinorm_wc,,,,
"[0.03, 0.13)",78,0.2785714285714286,71,7,0.08974358974358974,1.0174867438557411,0.20966393509754672,0.02513292687642016,CTM,equinorm_wc,,,,
"[0.13, inf)",49,0.175,30,19,0.3877551020408163,-0.842524581634546,0.15190973517350148,0.018446293586346786,CTM,equinorm_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
,280,1.0,220,60,0.21428571428571427,,0.36277191309800755,0.04372898731170488,CTM,equinorm_wc,,,,
"(-inf, 0.07)",101,0.3607142857142857,71,30,0.297029702970297,-0.4378004887511009,0.07761008664224059,0.009624519384851857,CTM,max_equiangular_uc,,,,
"[0.07, inf)",179,0.6392857142857142,149,30,0.16759776536312848,0.30346594015304285,0.05379623484531213,0.006698844563374405,CTM,max_equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
,280,1.0,220,60,0.21428571428571427,,0.1314063214875527,0.016323363948226262,CTM,max_equiangular_uc,,,,
"(-inf, 0.06)",96,0.34285714285714286,85,11,0.11458333333333333,0.7454729995616851,0.15135360900191788,0.018492940915563208,CTM,max_equiangular_wc,,,,
"[0.06, inf)",184,0.6571428571428571,135,49,0.266304347826087,-0.28582850380245817,0.05803184774171116,0.0072293882616163985,CTM,max_equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_wc,,,,
,280,1.0,220,60,0.21428571428571427,,0.20938545674362904,0.025722329177179606,CTM,max_equiangular_wc,,,,
"(-inf, 0.04)",52,0.18571428571428572,22,30,0.5769230769230769,-1.6094379124341003,0.6437751649736402,0.0727757915080922,CTM,self_duality,,,,
"[0.04, 0.07)",62,0.22142857142857142,58,4,0.06451612903225806,1.3748656652962679,0.2708068734674467,0.03141373305286228,CTM,self_duality,,,,
"[0.07, inf)",166,0.5928571428571429,140,26,0.1566265060240964,0.3842629004575613,0.07801701312320183,0.009692566997033449,CTM,self_duality,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,self_duality,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,self_duality,,,,
,280,1.0,220,60,0.21428571428571427,,0.9925990515642887,0.11388209155798792,CTM,self_duality,,,,
"(-inf, inf)",280,1.0,220,60,0.21428571428571427,0.0,0.0,0.0,CTM,dropout,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,dropout,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,dropout,,,,
,280,1.0,220,60,0.21428571428571427,,0.0,0.0,CTM,dropout,,,,
"(-inf, 0.01)",115,0.4107142857142857,70,45,0.391304347826087,-0.8574502318512218,0.37026260011757295,0.04491514032900164,CTM,,var_collapse,0.0,-0.47997806989822894,0.7872379744569371
"[0.01, inf)",165,0.5892857142857143,150,15,0.09090909090909091,1.0033021088637846,0.433244092463907,0.05199260362190766,CTM,,var_collapse,1.0,-0.47997806989822894,8.717956950566931
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,2.0,-0.47997806989822894,4.4417795682078705
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,3.0,-0.47997806989822894,4.4417795682078705
"(-inf, 0.15)",159,0.5678571428571428,113,46,0.2893081761006289,-0.40053656190701525,0.10134788763404781,0.012584476149827377,CTM,,equiangular_uc,0.0,-1.4962371136822243,-0.8798566185301295
"[0.15, inf)",121,0.43214285714285716,107,14,0.11570247933884298,0.7344885207163865,0.18584785296914635,0.022722484959055614,CTM,,equiangular_uc,1.0,-1.4962371136822243,14.200391046716012
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_uc,2.0,-1.4962371136822243,4.4417795682078705
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_uc,3.0,-1.4962371136822243,4.4417795682078705
"(-inf, 0.09)",135,0.48214285714285715,105,30,0.2222222222222222,-0.04652001563489283,0.0010572730826112016,0.00013214721965111587,CTM,,equiangular_wc,0.0,0.40011909100307214,4.607063911856362
"[0.09, inf)",145,0.5178571428571429,115,30,0.20689655172413793,0.04445176257083361,0.001010267331155313,0.00012627302030157952,CTM,,equiangular_wc,1.0,0.40011909100307214,4.28384367114794
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_wc,2.0,0.40011909100307214,4.4417795682078705
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_wc,3.0,0.40011909100307214,4.4417795682078705
"(-inf, 0.06)",89,0.31785714285714284,71,18,0.20224719101123595,0.07302513501488983,0.001659662159429321,0.00020741168622015384,CTM,,equinorm_uc,0.0,-0.9856143658572769,5.080898946301337
"[0.06, 0.09)",44,0.15714285714285714,40,4,0.09090909090909091,1.0033021088637846,0.11553175799037523,0.013864694299175393,CTM,,equinorm_uc,1.0,-0.9856143658572769,13.22272628917098
"[0.09, inf)",147,0.525,109,38,0.2585034013605442,-0.2455212616275031,0.033852173951670825,0.004220925381164642,CTM,,equinorm_uc,2.0,-0.9856143658572769,2.2929660671017436
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_uc,3.0,-0.9856143658572769,4.4417795682078705
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_uc,4.0,-0.9856143658572769,4.4417795682078705
"(-inf, 0.03)",153,0.5464285714285714,119,34,0.2222222222222222,-0.04652001563489283,0.0011982428269593627,0.00014976684893793207,CTM,,equinorm_wc,0.0,-0.6201820322389268,4.185589892568496
"[0.03, 0.13)",78,0.2785714285714286,71,7,0.08974358974358974,1.0174867438557411,0.20966393509754672,0.02513292687642016,CTM,,equinorm_wc,1.0,-0.6201820322389268,10.045165450998672
"[0.13, inf)",49,0.175,30,19,0.3877551020408163,-0.842524581634546,0.15190973517350148,0.018446293586346786,CTM,,equinorm_wc,2.0,-0.6201820322389268,-0.198074832985764
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_wc,3.0,-0.6201820322389268,4.4417795682078705
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_wc,4.0,-0.6201820322389268,4.4417795682078705
"(-inf, 0.07)",101,0.3607142857142857,71,30,0.297029702970297,-0.4378004887511009,0.07761008664224059,0.009624519384851857,CTM,,max_equiangular_uc,0.0,1.3322147163641693,9.620864831575553
"[0.07, inf)",179,0.6392857142857142,149,30,0.16759776536312848,0.30346594015304285,0.05379623484531213,0.006698844563374405,CTM,,max_equiangular_uc,1.0,1.3322147163641693,0.8518430127140393
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,max_equiangular_uc,2.0,1.3322147163641693,4.4417795682078705
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,max_equiangular_uc,3.0,1.3322147163641693,4.4417795682078705
"(-inf, 0.06)",96,0.34285714285714286,85,11,0.11458333333333333,0.7454729995616851,0.15135360900191788,0.018492940915563208,CTM,,max_equiangular_wc,0.0,-1.9723107772197532,17.49777105133051
"[0.06, inf)",184,0.6571428571428571,135,49,0.266304347826087,-0.28582850380245817,0.05803184774171116,0.0072293882616163985,CTM,,max_equiangular_wc,1.0,-1.9723107772197532,-0.5641354863584898
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,max_equiangular_wc,2.0,-1.9723107772197532,4.4417795682078705
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,max_equiangular_wc,3.0,-1.9723107772197532,4.4417795682078705
"(-inf, 0.04)",52,0.18571428571428572,22,30,0.5769230769230769,-1.6094379124341003,0.6437751649736402,0.0727757915080922,CTM,,self_duality,0.0,-1.0815812411284766,-11.01560335575415
"[0.04, 0.07)",62,0.22142857142857142,58,4,0.06451612903225806,1.3748656652962679,0.2708068734674467,0.03141373305286228,CTM,,self_duality,1.0,-1.0815812411284766,17.646280899577114
"[0.07, inf)",166,0.5928571428571429,140,26,0.1566265060240964,0.3842629004575613,0.07801701312320183,0.009692566997033449,CTM,,self_duality,2.0,-1.0815812411284766,8.13232193082792
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,self_duality,3.0,-1.0815812411284766,4.4417795682078705
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,self_duality,4.0,-1.0815812411284766,4.4417795682078705
"(-inf, inf)",280,1.0,220,60,0.21428571428571427,0.0,0.0,0.0,CTM,,dropout,0.0,-1.1052715213053724e-19,4.4417795682078705
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,dropout,1.0,-1.1052715213053724e-19,4.4417795682078705
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,dropout,2.0,-1.1052715213053724e-19,4.4417795682078705
"(-inf, 0.01)",149,0.5321428571428571,98,51,0.3422818791946309,-0.44547044272186376,0.1166708302366785,0.014464451145779052,CTMmean,var_collapse,,,,
"[0.01, 0.02)",75,0.26785714285714285,67,8,0.10666666666666667,1.0266387890430202,0.2102165139469042,0.025180656584445467,CTMmean,var_collapse,,,,
"[0.02, inf)",56,0.2,45,11,0.19642857142857142,0.3101549283038394,0.017723138760219394,0.0022065551665376437,CTMmean,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmean,var_collapse,,,,
,280,1.0,210,70,0.25,,0.3446104829438021,0.04185166289676216,CTMmean,var_collapse,,,,
"(-inf, 0.09)",71,0.25357142857142856,70,1,0.014084507042253521,3.1498829533812485,1.0049626565549699,0.09068263996786406,CTMmean,equiangular_uc,,,,
