Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
"(-inf, inf)",40,1.0,20,20,0.5,0.0,0.0,0.0,CTM,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
,40,1.0,20,20,0.5,,0.0,0.0,CTM,var_collapse,,,,
"(-inf, inf)",40,1.0,20,20,0.5,0.0,0.0,0.0,CTM,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
,40,1.0,20,20,0.5,,0.0,0.0,CTM,equiangular_uc,,,,
"(-inf, 0.13)",30,0.75,11,19,0.6333333333333333,-0.5465437063680698,0.21861748254722788,0.026992064296953555,CTM,equiangular_wc,,,,
"[0.13, inf)",10,0.25,9,1,0.1,2.197224577336219,0.8788898309344877,0.09201605179212427,CTM,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
,40,1.0,20,20,0.5,,1.0975073134817155,0.11900811608907783,CTM,equiangular_wc,,,,
"(-inf, 0.04)",10,0.25,5,5,0.5,0.0,0.0,0.0,CTM,equinorm_uc,,,,
"[0.04, 0.09)",12,0.3,2,10,0.8333333333333334,-1.6094379124341005,0.6437751649736402,0.0727757915080922,CTM,equinorm_uc,,,,
"[0.09, inf)",18,0.45,13,5,0.2777777777777778,0.9555114450274362,0.3822045780109746,0.046037220427963266,CTM,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
,40,1.0,20,20,0.5,,1.0259797429846147,0.11881301193605547,CTM,equinorm_uc,,,,
"(-inf, 0.02)",7,0.175,5,2,0.2857142857142857,0.916290731874155,0.13744360978112324,0.01660357859557042,CTM,equinorm_wc,,,,
"[0.02, inf)",33,0.825,15,18,0.5454545454545454,-0.18232155679395445,0.02734823351909319,0.0034138022187116673,CTM,equinorm_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
,40,1.0,20,20,0.5,,0.16479184330021643,0.020017380814282087,CTM,equinorm_wc,,,,
"(-inf, inf)",40,1.0,20,20,0.5,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
,40,1.0,20,20,0.5,,0.0,0.0,CTM,max_equiangular_uc,,,,
"(-inf, inf)",40,1.0,20,20,0.5,0.0,0.0,0.0,CTM,max_equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_wc,,,,
,40,1.0,20,20,0.5,,0.0,0.0,CTM,max_equiangular_wc,,,,
"(-inf, inf)",40,1.0,20,20,0.5,0.0,0.0,0.0,CTM,self_duality,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,self_duality,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,self_duality,,,,
,40,1.0,20,20,0.5,,0.0,0.0,CTM,self_duality,,,,
"(-inf, inf)",40,1.0,20,20,0.5,0.0,0.0,0.0,CTM,,var_collapse,0.0,0.0,4.308263508823523
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,1.0,0.0,4.308263508823523
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,2.0,0.0,4.308263508823523
"(-inf, inf)",40,1.0,20,20,0.5,0.0,0.0,0.0,CTM,,equiangular_uc,0.0,0.0,4.308263508823523
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_uc,1.0,0.0,4.308263508823523
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_uc,2.0,0.0,4.308263508823523
"(-inf, 0.13)",30,0.75,11,19,0.6333333333333333,-0.5465437063680698,0.21861748254722788,0.026992064296953555,CTM,,equiangular_wc,0.0,-0.7997191737320591,-4.431315840069169
