dataset,method,calibration,model,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound
val,CTM,Sigmoid,modelvit,do0,rew0,0,0.022323358070634965,0.0030128100495419204,0.37255800206548706,0.1123622692298239,0.23804581372421058
iid_test,CTM,Sigmoid,modelvit,do0,rew0,0,0.019111278695591483,0.0013704280564697006,0.2124045616999299,0.13676992690156053,0.26293337844815057
ood_sncs_c100,CTM,Sigmoid,modelvit,do0,rew0,0,0.22446536803214573,0.0627548711987858,0.4579628098408507,0.29776077464509987,0.43576124846344577
ood_nsncs_svhn,CTM,Sigmoid,modelvit,do0,rew0,0,0.1784813070792777,0.049994774576896404,0.48944959913938146,0.21729791439588256,0.29554972929669315
ood_sncs_c10,CTM,Sigmoid,modelvit,do0,rew0,0,0.2427608689329058,0.07499450262320059,0.494252574755651,0.31605627554586,0.45819537302061075
ood_nsncs_lsun_cropped,CTM,Sigmoid,modelvit,do0,rew0,0,0.14285732160451128,0.037630956627973736,0.398573078850338,0.21552485306909744,0.3119414942426264
ood_nsncs_lsun_resize,CTM,Sigmoid,modelvit,do0,rew0,0,0.23370552728962815,0.07209712939982667,0.49467871760670673,0.3070009339025822,0.43722942612138316
ood_nsncs_isun,CTM,Sigmoid,modelvit,do0,rew0,0,0.19698953829073457,0.056920139816084916,0.4532551073059473,0.274926900960536,0.39991296150818473
ood_nsncs_textures,CTM,Sigmoid,modelvit,do0,rew0,0,0.0693991037127242,0.00998385653320183,0.23679634003137295,0.15905356125473136,0.2623638433293453
ood_nsncs_places365,CTM,Sigmoid,modelvit,do0,rew0,0,0.2020169105168732,0.05836559495700311,0.4608301954275597,0.2753123171298274,0.40388202261233347
val,CTM,Isotonic,modelvit,do0,rew0,0,0.01913163152253479,0.0036859925354777727,0.5729980795860286,0.11057295814614507,0.2398674235645447
iid_test,CTM,Isotonic,modelvit,do0,rew0,0,0.01572687783576858,0.0013254258087221254,0.3515275649078177,0.13663352925615663,0.26327412036544384
ood_sncs_c100,CTM,Isotonic,modelvit,do0,rew0,0,0.2262388705903481,0.06144114190427555,0.4845524384778731,0.3004229852962377,0.43482424081145926
ood_nsncs_svhn,CTM,Isotonic,modelvit,do0,rew0,0,0.20002542802264509,0.06065105802574285,0.5324064283705456,0.23931268738494657,0.3136913624929388
ood_sncs_c10,CTM,Isotonic,modelvit,do0,rew0,0,0.2396307312494542,0.07085951852898575,0.5206030422839514,0.31377356363853076,0.4535883038181991
ood_nsncs_lsun_cropped,CTM,Isotonic,modelvit,do0,rew0,0,0.15438933461808638,0.04252918364434757,0.447175321981941,0.2285734493239759,0.32038808430683496
ood_nsncs_lsun_resize,CTM,Isotonic,modelvit,do0,rew0,0,0.23479104931070965,0.06895660345137929,0.5270118725519259,0.30892682811714617,0.4338122219230511
ood_nsncs_isun,CTM,Isotonic,modelvit,do0,rew0,0,0.198747557231071,0.05484099498078522,0.5005735343950508,0.27755409024268574,0.3974953468086967
ood_nsncs_textures,CTM,Isotonic,modelvit,do0,rew0,0,0.06472108351893201,0.012981015371118728,0.3744419654368667,0.16042401074254997,0.2685341348187386
ood_nsncs_places365,CTM,Isotonic,modelvit,do0,rew0,0,0.2035204038491881,0.05663800357345179,0.4956918934606547,0.27770451855507766,0.4020762222244897
val,CTM,Beta,modelvit,do0,rew0,0,0.02589715897161144,0.004306105725862082,0.8402545552948668,0.1152332146523003,0.2384803849185432
iid_test,CTM,Beta,modelvit,do0,rew0,0,0.014209532070013998,0.0006734341313451929,0.22393519263036843,0.13901160848664454,0.26178419563718
ood_sncs_c100,CTM,Beta,modelvit,do0,rew0,0,0.23928225591906607,0.07359727869541657,0.47124363007673353,0.31200080887167436,0.4479592815542817
ood_nsncs_svhn,CTM,Beta,modelvit,do0,rew0,0,0.20163376333122118,0.06712101734152381,0.5203895675361374,0.24014487398647272,0.3234076028887344
