model,drop out,methods,reward,run,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do0,Confidence,rew2.2,1,0.187549569575081,0.5229732624463308,0.4622871229959251,0.4268694644048909,0.4215520842963667,0.4210440081184369,0.4051805583181379,0.4100243386000433,0.5078669616725547
confidnet,do0,Confidence,rew2.2,2,0.1825657438423715,0.5400388971389943,0.539447089659499,0.4333672879971043,0.4118933200004664,0.413056857469326,0.4026355007229966,0.4243769923147101,0.5240086833884758
confidnet,do0,Confidence,rew2.2,3,0.1837588068733066,0.5679985072330949,0.5952206786946368,0.5025217456764224,0.490934234651938,0.5013265824241957,0.4827260205018142,0.4563416025873766,0.5589224206776003
confidnet,do0,Confidence,rew2.2,4,0.1870157974924208,0.5382353772468681,0.5749121694527081,0.4527551712238077,0.4265456768127281,0.4343005715360571,0.421929442573761,0.4229206030844986,0.5252980340600835
confidnet,do0,Confidence,rew2.2,5,0.1838905714335709,0.5742562435583416,0.58558197434336,0.5114657104387059,0.4829199516335707,0.5103617235461961,0.489543817856013,0.461528297854993,0.566955187246333
confidnet,do0,MSR,rew2.2,1,0.18797542285582,0.5187731893146164,0.4544386266801137,0.4139736308686245,0.4097559112837627,0.405669908922289,0.3897202303485864,0.4078137041772769,0.4991614552149687
confidnet,do0,MSR,rew2.2,2,0.1840737196231295,0.5376585900442246,0.5497161471982134,0.4547698740989531,0.4491699604323122,0.4415313134322628,0.4281588411899528,0.4291990695405172,0.5212296195893515
confidnet,do0,MSR,rew2.2,3,0.1843075893213387,0.5664862848153339,0.5960116281233131,0.4943858212199635,0.4844821992437079,0.4920090152400786,0.4732443072867756,0.4532201961610162,0.5539218552919167
confidnet,do0,MSR,rew2.2,4,0.1873762548480326,0.5347021554695741,0.5530239900169532,0.4547394350638027,0.4321461990283133,0.4323112862399456,0.4215094374313319,0.4182942961102019,0.5169378928939278
confidnet,do0,MSR,rew2.2,5,0.1845607705000961,0.56840070351115,0.5730281245595412,0.5067647512286997,0.4724042619397104,0.4983523884704025,0.4797252375707204,0.4553473066209906,0.5565399779981336
confidnet,do0,PCE,rew2.2,1,0.1888083132349917,0.5210832703338893,0.4695187409923987,0.4431625462663697,0.4360354281638452,0.4381940387596579,0.4275880713281818,0.414623134133979,0.5044298290672563
confidnet,do0,PCE,rew2.2,2,0.1858157585633227,0.5475603471066636,0.5646497667396102,0.4938552758587028,0.5154669593865671,0.4971751820588097,0.4787099685086541,0.4445298714322189,0.5363254788237186
confidnet,do0,PCE,rew2.2,3,0.1844408466303553,0.5657761413121883,0.5961189937583106,0.4918923665196645,0.4803806444630037,0.4883599765738984,0.470032796996176,0.452501155211101,0.5529156136007293
confidnet,do0,PCE,rew2.2,4,0.1875347216746392,0.5308088189648656,0.5484276132618116,0.4442088883277076,0.4197161770169056,0.4189753925350708,0.4089067041226935,0.4124803179268211,0.5109276440566103
confidnet,do0,PCE,rew2.2,5,0.1844391688077285,0.565393190473334,0.5664624035084501,0.4972558023958925,0.460837716545414,0.4880493105312345,0.4689246116037262,0.4512002688101636,0.5518808505257949
